"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 35V","","","",""
"2","C3, C5","2","10n","","","",""
"3","C4","1","10u 35V Tant","","","",""
"4","C6, C7","2","100n","","","",""
"5","C8","1","1u 35V Tant","","","",""
"6","D1, D2, D3, D4, D5","5","1N4148","","","",""
"7","D6","1","LED","","","",""
"8","D7, D8","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"9","J1, J2, J3","3","AudioJack2_SwitchT","","","Tayda","A-2566"
"10","J4","1","Conn_02x05_Odd_Even","","","Tayda","A-2939"
"11","JP1","1","Jumper_2_Bridged","","","",""
"12","Q1, Q2, Q3","3","BC547","Package_TO_SOT_THT:TO-92_Inline","","Mouser","771-BCM847DS135"
"13","Q4","1","BS170","Package_TO_SOT_THT:TO-92_Inline","","Mouser","512-BS170"
"14","R1, R2, R9","3","10","","","",""
"15","R3","1","10K","","","",""
"16","R4","1","47K","","","",""
"17","R5","1","1.2M","","","",""
"18","R6, R12","2","1M","","","",""
"19","R7, R8, R10, R11","4","22K","","","",""
"20","R13, R16","2","100","","","",""
"21","R14","1","120","","","",""
"22","R15","1","680","","","",""
"23","R17","1","4.7K","","","",""
"24","R18, R22, R23","3","1K","","","",""
"25","R19, R21","2","100K","","","",""
"26","R20","1","150K","","","",""
"27","RV1, RV2, RV3","3","A1M","","","Tayda","A-2425"
"28","RV4","1","B10K","","","Tayda","A-2969"
"29","SW1","1","SW_Push","","","Tayda","A-5051"
"30","SW2","1","SW_DPDT_x2","","","Tayda","A-6809"
"31","U1","1","ICM7555xB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","968-ICM7555CBAZ-T"
"32","U2","1","TL074","","","Mouser","595-TL074CN"
